127.0.0.1, 2015-03-31 14:52:50, GET, /, HTTP/1.1, 303, 0.004154
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/default/index, HTTP/1.1, 200, 1.745481
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001791
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002685
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002923
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003129
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003178
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.021246
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002705
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.034079
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.014010
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.012371
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012475
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.007194
127.0.0.1, 2015-03-31 14:52:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.031331
127.0.0.1, 2015-03-31 14:52:54, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005249
127.0.0.1, 2015-03-31 14:52:54, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.009052
127.0.0.1, 2015-03-31 14:52:54, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.008953
127.0.0.1, 2015-03-31 14:53:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.212044
127.0.0.1, 2015-03-31 14:53:53, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002650
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/default/index, HTTP/1.1, 200, 1.272991
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.002907
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.002928
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002947
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.016839
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.009320
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.009099
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002827
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004813
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.012637
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.016696
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.018022
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012390
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.007131
127.0.0.1, 2015-03-31 14:53:58, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.016169
127.0.0.1, 2015-03-31 14:53:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001974
127.0.0.1, 2015-03-31 14:54:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001167
127.0.0.1, 2015-03-31 14:54:03, POST, /admin/default/index, HTTP/1.1, 303, 0.272745
127.0.0.1, 2015-03-31 14:54:04, GET, /admin/default/site, HTTP/1.1, 200, 0.369878
127.0.0.1, 2015-03-31 14:54:04, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.002922
127.0.0.1, 2015-03-31 14:54:04, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.002983
127.0.0.1, 2015-03-31 14:54:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.228325
127.0.0.1, 2015-03-31 14:54:05, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002639
127.0.0.1, 2015-03-31 14:54:21, POST, /admin/default/site, HTTP/1.1, 303, 0.408277
127.0.0.1, 2015-03-31 14:54:22, GET, /admin/default/design/tpop, HTTP/1.1, 200, 1.348360
127.0.0.1, 2015-03-31 14:54:23, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002753
127.0.0.1, 2015-03-31 14:54:23, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002670
127.0.0.1, 2015-03-31 14:54:23, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.016493
127.0.0.1, 2015-03-31 14:54:23, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.002769
127.0.0.1, 2015-03-31 14:54:39, GET, /admin/default/peek/tpop/controllers/default.py, HTTP/1.1, 200, 0.218022
127.0.0.1, 2015-03-31 14:54:51, GET, /admin/default/design/tpop, HTTP/1.1, 200, 1.025834
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/default/edit/tpop/controllers/default.py, HTTP/1.1, 200, 0.350581
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.012053
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.015828
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.015521
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.019178
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.029985
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.010083
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003007
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002823
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.034019
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.020359
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002746
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.008295
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002814
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.013349
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.017387
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.010603
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.020146
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004358
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.022699
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.008043
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.021672
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.009441
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.010247
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.008882
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.005293
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.017563
127.0.0.1, 2015-03-31 14:54:58, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.007118
127.0.0.1, 2015-03-31 14:54:58, GET, /admin/static/_2.9.12/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.025830
127.0.0.1, 2015-03-31 14:54:57, GET, /admin/static/_2.9.12/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.003038
127.0.0.1, 2015-03-31 14:54:58, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.016589
127.0.0.1, 2015-03-31 14:54:58, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.008044
127.0.0.1, 2015-03-31 14:54:58, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.011207
